type,code,fullCode,name,provinsiCode,kabupatenKotaCode,kabupatenKotaFullCode,createdAt,updatedAt
kecamatan,010,1101010,TEUPAH SELATAN,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,020,1101020,SIMEULUE TIMUR,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,021,1101021,TEUPAH BARAT,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,022,1101022,TEUPAH TENGAH,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,030,1101030,SIMEULUE TENGAH,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,031,1101031,TELUK DALAM,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,032,1101032,SIMEULUE CUT,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,040,1101040,SALANG,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,050,1101050,SIMEULUE BARAT,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,051,1101051,ALAFAN,11,01,1101,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,010,1102010,PULAU BANYAK,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,011,1102011,PULAU BANYAK BARAT,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,020,1102020,SINGKIL,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,021,1102021,SINGKIL UTARA,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,022,1102022,KUALA BARU,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,030,1102030,SIMPANG KANAN,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,031,1102031,GUNUNG MERIAH,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,032,1102032,DANAU PARIS,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,033,1102033,SURO,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,042,1102042,SINGKOHOR,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,043,1102043,KOTA BAHARU,11,02,1102,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,010,1103010,TRUMON,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,011,1103011,TRUMON TIMUR,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,012,1103012,TRUMON TENGAH,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,020,1103020,BAKONGAN,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,021,1103021,BAKONGAN TIMUR,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,022,1103022,KOTA BAHAGIA,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,030,1103030,KLUET SELATAN,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,031,1103031,KLUET TIMUR,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,040,1103040,KLUET UTARA,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,041,1103041,PASIE RAJA,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,042,1103042,KLUET TENGAH,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,050,1103050,TAPAK TUAN,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,060,1103060,SAMA DUA,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,070,1103070,SAWANG,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,080,1103080,MEUKEK,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,090,1103090,LABUHAN HAJI,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,091,1103091,LABUHAN HAJI TIMUR,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,092,1103092,LABUHAN HAJI BARAT,11,03,1103,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,010,1104010,LAWE ALAS,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,011,1104011,BABUL RAHMAH,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,012,1104012,TANOH ALAS,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,020,1104020,LAWE SIGALA-GALA,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,021,1104021,BABUL MAKMUR,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,022,1104022,SEMADAM,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,023,1104023,LEUSER,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,030,1104030,BAMBEL,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,031,1104031,BUKIT TUSAM,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,032,1104032,LAWE SUMUR,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,040,1104040,BABUSSALAM,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,041,1104041,LAWE BULAN,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,050,1104050,BADAR,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,051,1104051,DARUL HASANAH,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,052,1104052,KETAMBE,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,053,1104053,DELENG POKHKISEN,11,04,1104,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,100,1105100,RANTAU SELAMAT,11,05,1105,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,101,1105101,SUNGAI RAYA,11,05,1105,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,110,1105110,PEUREULAK,11,05,1105,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,111,1105111,PEUREULAK TIMUR,11,05,1105,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
kecamatan,112,1105112,PEUREULAK BARAT,11,05,1105,2025-07-25T15:55:17.819Z,2025-07-25T15:55:17.819Z
