type,code,fullCode,name,createdAt,updatedAt
provinsi,11,11,ACEH,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,12,12,SUMATERA UTARA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,13,13,SUMATERA BARAT,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,14,14,RIAU,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,15,15,JAMBI,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,16,16,SUMATERA SELATAN,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,17,17,BENGKULU,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,18,18,LAMPUNG,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,19,19,KEPULAUAN BANGKA BELITUNG,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,21,21,KEPULAUAN RIAU,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,31,31,DKI JAKARTA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,32,32,JAWA BARAT,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,33,33,JAWA TENGAH,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,34,34,DI YOGYAKARTA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,35,35,JAWA TIMUR,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,36,36,BANTEN,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,51,51,BALI,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,52,52,NUSA TENGGARA BARAT,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,53,53,NUSA TENGGARA TIMUR,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,61,61,KALIMANTAN BARAT,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,62,62,KALIMANTAN TENGAH,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,63,63,KALIMANTAN SELATAN,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,64,64,KALIMANTAN TIMUR,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,65,65,KALIMANTAN UTARA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,71,71,SULAWESI UTARA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,72,72,SULAWESI TENGAH,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,73,73,SULAWESI SELATAN,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,74,74,SULAWESI TENGGARA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,75,75,GORONTALO,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,76,76,SULAWESI BARAT,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,81,81,MALUKU,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,82,82,MALUKU UTARA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,91,91,PAPUA BARAT,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,92,92,PAPUA BARAT DAYA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,94,94,PAPUA,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,95,95,PAPUA SELATAN,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,96,96,PAPUA TENGAH,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
provinsi,97,97,PAPUA PEGUNUNGAN,2025-07-25T15:55:17.779Z,2025-07-25T15:55:17.779Z
